2122,E732
2196,E697
2197,E678
2198,E696
2199,E6A5
23E9,[>>]
23EA,[<<]
23F0,E6BA
24C2,E65C
25B6,[>]
25C0,[<]
2600,E63E
2601,E63F
260E,E687
2614,E640
2615,E670
261D,[人差し指]
263A,E6F0
2648,E646
2649,E647
264A,E648
264B,E649
264C,E64A
264D,E64B
264E,E64C
264F,E64D
2650,E64E
2651,E64F
2652,E650
2653,E651
2660,E68E
2663,E690
2665,E68D
2666,E68F
2668,E6F7
267F,E69B
2693,E661
26A0,E737
26A1,E642
26AA,E69C
26AB,E69C
26BD,E656
26BE,E653
26C4,E641
26CE,[蛇使座]
26D4,E72F
26EA,[教会]
26F2,[噴水]
26F3,E654
26F5,E6A3
26FA,[キャンプ]
26FD,E66B
2702,E675
2708,E662
2709,E6D3
270A,E693
270B,E695
270C,E694
270F,E719
2716,[×]
2728,E6FA
2733,E6F8
2734,E6F8
2747,E6FA
274C,[×]
274E,[×]
2753,[？]
2754,[？]
2755,E702
2757,E702
2764,E6EC
27A1,[→]
27BF,E6DF
2934,E6F5
2935,E700
2B05,[←]
2B06,[↑]
2B07,[↓]
2B50,[☆]
2B55,E6A0
303D,[歌記号]
3297,[祝]
3299,E734
1F004,[麻雀]
1F170,[A]
1F171,[B]
1F17E,[O]
1F17F,E66C
1F18E,[AB]
1F192,[COOL]
1F194,E6D8
1F195,E6DD
1F197,E70B
1F199,[UP!]
1F19A,[VS]
1F201,[ココ]
1F202,[サービス]
1F21A,[無]
1F22F,[指]
1F233,E739
1F235,E73B
1F236,[有]
1F237,[月]
1F238,[申]
1F239,[割]
1F23A,[営]
1F250,[得]
1F300,E643
1F302,E645
1F303,E6B3
1F304,E63E
1F305,E63E
1F306,[夕焼け]
1F307,E63E
1F308,[虹]
1F309,E6B3
1F30A,E73F
1F30C,E6B3
1F313,E69E
1F314,E69D
1F319,E69F
1F31B,E69E
1F31F,[☆]
1F331,E746
1F334,[ヤシ]
1F335,[サボテン]
1F337,E743
1F338,E748
1F339,[バラ]
1F33A,[ハイビスカス]
1F33B,[ひまわり]
1F33C,[ひまわり]
1F33E,[稲穂]
1F33F,E741
1F340,E741
1F341,E747
1F342,E747
1F343,[風に舞う葉]
1F345,[トマト]
1F346,[ナス]
1F349,[スイカ]
1F34A,[みかん]
1F34E,E745
1F34F,E745
1F353,[イチゴ]
1F354,E673
1F358,[せんべい]
1F359,E749
1F35A,E74C
1F35B,[カレー]
1F35C,E74C
1F35D,[パスタ]
1F35E,E74D
1F35F,[ポテト]
1F361,[だんご]
1F362,[おでん]
1F363,[すし]
1F366,[ソフトクリーム]
1F367,[カキ氷]
1F370,E74A
1F371,[弁当]
1F372,[鍋]
1F373,[フライパン]
1F374,E66F
1F375,E71E
1F376,E74B
1F377,E756
1F378,E671
1F379,E671
1F37A,E672
1F37B,E672
1F380,E684
1F381,E685
1F382,E686
1F383,[ハロウィン]
1F384,E6A4
1F385,[サンタ]
1F386,[花火]
1F387,[線香花火]
1F388,[風船]
1F389,[クラッカー]
1F38C,[祝日]
1F38D,[門松]
1F38E,[ひな祭り]
1F38F,[こいのぼり]
1F390,[風鈴]
1F391,[お月見]
1F392,[ランドセル]
1F393,[卒業式]
1F3A1,[観覧車]
1F3A2,[ジェットコースター]
1F3A3,E751
1F3A4,E676
1F3A5,E677
1F3A6,E677
1F3A7,E67A
1F3A8,E67B
1F3A9,E67C
1F3AB,E67E
1F3AC,E6AC
1F3AF,[的中]
1F3B0,[777]
1F3B1,[ビリヤード]
1F3B5,E6F6
1F3B6,E6FF
1F3B7,[サックス]
1F3B8,[ギター]
1F3BA,[トランペット]
1F3BC,E6FF
1F3BE,E655
1F3BF,E657
1F3C0,E658
1F3C1,E659
1F3C3,E733
1F3C4,E712
1F3C6,[トロフィー]
1F3C8,[フットボール]
1F3CA,[水泳]
1F3E0,E663
1F3E1,E663
1F3E2,E664
1F3E3,E665
1F3E5,E666
1F3E6,E667
